pelicula,pelicula_año,episodio,link_letterboxd
The Forever Purge,2021,El podcast champagne es así,https://letterboxd.com/film/the-forever-purge/
Pig,2021,El podcast champagne es así,https://letterboxd.com/film/pig-2021/
False Positive,2021,Nganga,https://letterboxd.com/film/false-positive/
Zola,2020,"Buenas tardes, buenas noches, buenos días, buenas tardes, buenas noches",https://letterboxd.com/film/zola/
The Empty Man,2020,"Buenas tardes, buenas noches, buenos días, buenas tardes, buenas noches",https://letterboxd.com/film/the-empty-man/
Val,2021,Pezones en situación de lactancia,https://letterboxd.com/film/val/
The Green Knight,2021,Le gusta tanto la noche que pegó un canje de pijamas,https://letterboxd.com/film/the-green-knight/
Annette,2021,"Por la vuelta del término ""fifar"" a los medios de comunicación",https://letterboxd.com/film/annette/
My Heart Can't Beat Unless You Tell It To,2020,Eyaculacionprecozshaming,https://letterboxd.com/film/my-heart-cant-beat-unless-you-tell-it-to/
Malignant,2021,HOLA HOY TRASNOCHE CÓMO ESTÁS CHUPAPIJA,https://letterboxd.com/film/malignant-2021/
Prisoners of the Ghostland,2021,HOLA HOY TRASNOCHE CÓMO ESTÁS CHUPAPIJA,https://letterboxd.com/film/prisoners-of-the-ghostland/
Candyman,2021,"Hoy Trasnoche, Hoy Trasnoche, Hoy Trasnoche, Hoy Trasnoche, Hoy Trasnoche",https://letterboxd.com/film/candyman-2021/
The Amusement Park,1975,Hoy.Trasnoche.Live.300921.Vilouta.Brown.Web-DL.AdultDiaperz,https://letterboxd.com/film/the-amusement-park/
Britney vs. Spears,2021,Se pone tu vulva y la usa de taparrabos,https://letterboxd.com/film/britney-vs-spears/
El prófugo,2020,Se pone tu vulva y la usa de taparrabos,https://letterboxd.com/film/the-intruder-2020/
The Night House,2020,Ojotas Bambino Veira,https://letterboxd.com/film/the-night-house/
Fever Dream,2021,Ojotas Bambino Veira,https://letterboxd.com/film/fever-dream-2021/
Titane,2021,Es como cagar pero para adentro,https://letterboxd.com/film/titane/
Lamb,2021,A un comentario de J. K. Rowling de que nos cancelen,https://letterboxd.com/film/lamb-2021/
The Medium,2021,No sé lo que es la droga,https://letterboxd.com/film/the-medium-2021/
Last Night in Soho,2021,Dura y pegada a la bolsa,https://letterboxd.com/film/last-night-in-soho/
Benedetta,2021,Dura y pegada a la bolsa,https://letterboxd.com/film/benedetta/
The Feast,2021,La Pachamama es más mala que Jason,https://letterboxd.com/film/the-feast-2021/
The Humans,2021,La Pachamama es más mala que Jason,https://letterboxd.com/film/the-humans/
Silent Night,2021,"""Ya hicimos una coreana""",https://letterboxd.com/film/silent-night-2021/
The Lost Daughter,2021,El llavero de Jaimito de Hoy Trasnoche,https://letterboxd.com/film/the-lost-daughter-2021/
The Last Picture Show,1971,Como una Coti Nosiglia del bien,https://letterboxd.com/film/the-last-picture-show/
The Innocents,2021,"Es como los grados de separación con Kevin Bacon, pero de cogerse gente",https://letterboxd.com/film/the-innocents-2021/
The Scary of Sixty-First,2021,This is agarrar la pala,https://letterboxd.com/film/the-scary-of-sixty-first/
Pleasure,2021,This is agarrar la pala,https://letterboxd.com/film/pleasure-2021/
House of Gucci,2021,Soy mala con la droga,https://letterboxd.com/film/house-of-gucci/
Parallel Mothers,2021,Soy mala con la droga,https://letterboxd.com/film/parallel-mothers/
Red Rocket,2021,Soy mala con la droga,https://letterboxd.com/film/red-rocket-2021/
Kimi,2022,Le comíamos el Nestún aka Prepucio compungido,https://letterboxd.com/film/kimi/
Texas Chainsaw Massacre,2022,Hace su entrada la bandera de Santiago del Estero,https://letterboxd.com/film/texas-chainsaw-massacre/
Scream,2022,Hace su entrada la bandera de Santiago del Estero,https://letterboxd.com/film/scream-2022/
Hellbender,2021,Buscando en Wikipedia a la tarde para repetirlo a la noche,https://letterboxd.com/film/hellbender/
Fresh,2022,El butt plug siempre con tope,https://letterboxd.com/film/fresh-2022/
Studio 666,2022,"Traigan tierra, que palas sobran",https://letterboxd.com/film/studio-666-2022/
Jackass Forever,2022,"Traigan tierra, que palas sobran",https://letterboxd.com/film/jackass-forever/
All Hail,2022,El día después de poronga,https://letterboxd.com/film/all-hail/
X,2022,Nosotros matamos a tu Mesías,https://letterboxd.com/film/x-2022/
Ambulance,2022,Hoy TrasWOKEche,https://letterboxd.com/film/ambulance-2022/
The Northman,2022,Hoy TrasWOKEche,https://letterboxd.com/film/the-northman/
To Kill the Beast,2021,Y en un momento todo se convierte en una letra de Walter Olmos,https://letterboxd.com/film/to-kill-the-beast/
The K.E.O.P/S System,2022,Acuosa profusa,https://letterboxd.com/film/the-keop-s-system/
Dark Glasses,2022,El camino a la felicidad no incluye asesinar,https://letterboxd.com/film/dark-glasses/
The Unbearable Weight of Massive Talent,2022,Un par de polvos tristes,https://letterboxd.com/film/the-unbearable-weight-of-massive-talent/
Everything Everywhere All at Once,2022,Menos orientales que el Chino Volpato,https://letterboxd.com/film/everything-everywhere-all-at-once/
The Sadness,2021,Menos orientales que el Chino Volpato,https://letterboxd.com/film/the-sadness-2021/
Men,2022,Les habló con el corazón y le respondieron con el bolsillo,https://letterboxd.com/film/men-2022/
Crimes of the Future,2022,Hijo de MC Hammer,https://letterboxd.com/film/crimes-of-the-future-2022/
The Black Phone,2021,Hijo de MC Hammer,https://letterboxd.com/film/the-black-phone/
Olaf,2022,Olaf es falo al revés,https://letterboxd.com/film/olaf/
They/Them,2022,Cagarse encima de grande,https://letterboxd.com/film/they-them-2022-1/
Prey,2022,"El ""aber kojan"" del proceso creativo",https://letterboxd.com/film/prey-2022/
Nope,2022,Haciendo caca en una planta,https://letterboxd.com/film/nope/
