episodio,pelicula,pelicula_año,link_letterboxd,fecha,imagen_url,duracion_ms,tipo,episodio_url
57: El cuatro quedó pegajoso,Humanist Vampire Seeking Consenting Suicidal Person,2023,https://letterboxd.com/film/humanist-vampire-seeking-consenting-suicidal-person/,2024-08-27,https://i1.sndcdn.com/artworks-KmgYbmQ0BPhWiJ2C-E8qXyw-t500x500.jpg,4280000,pago,https://hoytrasnoche.com/vip/
58: Marcelo Night Shyamalan,Trap,2024,https://letterboxd.com/film/trap-2024/,2024-09-03,https://i1.sndcdn.com/artworks-y436stpPDyH6GMIU-VAM2bA-t500x500.jpg,4300000,pago,https://hoytrasnoche.com/vip/
59: A las tres de la mañana sacando entradas para la Creamfields,Beetlejuice Beetlejuice,2024,https://letterboxd.com/film/beetlejuice-beetlejuice/,2024-09-10,https://i1.sndcdn.com/artworks-7Wz9NqwLrvPAsvhF-gPJykQ-t500x500.jpg,5087000,pago,https://hoytrasnoche.com/vip/
189: Me hizo extrañar las hemorroides que tuve en diciembre,Captain America: Brave New World,2025,https://letterboxd.com/film/captain-america-brave-new-world/,2025-02-21,https://i.scdn.co/image/ab6765630000ba8ac07111d4e5dfb4e1728f6006,3683604,gratis,https://open.spotify.com/episode/3ghiRpO35vfQK72sq8yMYu
188: Barbie activista levemente racializada,A Complete Unknown,2024,https://letterboxd.com/film/a-complete-unknown/,2025-02-07,https://i.scdn.co/image/ab6765630000ba8a355eeb1bcf74087019185922,5389217,gratis,https://open.spotify.com/episode/1GjDU2WjMhlPoO2FgAnyj2
"187: Pocas cosas más confiables que ""una empresa de software ucraniana""",Hundreds of Beavers,2022,https://letterboxd.com/film/hundreds-of-beavers/,2025-01-31,https://i.scdn.co/image/ab6765630000ba8a083b3d7dba15526036164036,4670641,gratis,https://open.spotify.com/episode/1Hb7RAl6ZGkMhbqbbuo9Yo
186: Es como si hubiéramos ido a un torneo de rol,My Argentine Heart,2025,https://letterboxd.com/film/my-argentine-heart/,2025-01-24,https://i.scdn.co/image/ab6765630000ba8a0cd1adf6b36a0017a3ee746b,5513064,gratis,https://open.spotify.com/episode/4PmdZvvikY4rgzJ667YiDI
185: El nenaso siente mucha seguridad cuando ve un musculoso sin remera,Queer,2024,https://letterboxd.com/film/queer-2024/,2025-01-17,https://i.scdn.co/image/ab6765630000ba8a0e602d0d76c18159adcade83,4214021,gratis,https://open.spotify.com/episode/1zlD65CIHwwHE8PrAFSpRd
184: Al que viene a pedir el subsidio lo buscás en IMDb,A Real Pain,2024,https://letterboxd.com/film/a-real-pain/,2025-01-10,https://i.scdn.co/image/ab6765630000ba8a64662c74037e51f94209100d,4025626,gratis,https://open.spotify.com/episode/6k7d6OrWqpKUrCQppzhsYA
183: Te comprás la entrada para la de coger y el pochoclo es de Moana 2,Babygirl,2024,https://letterboxd.com/film/babygirl-2024/,2025-01-03,https://i.scdn.co/image/ab6765630000ba8a8d1d78a2fc46b50c4db13a75,5618834,gratis,https://open.spotify.com/episode/5SncVqdiKhb4vK9pg3QEMz
183: Te comprás la entrada para la de coger y el pochoclo es de Moana 2,Nosferatu,2024,https://letterboxd.com/film/nosferatu-2024/,2025-01-03,https://i.scdn.co/image/ab6765630000ba8a8d1d78a2fc46b50c4db13a75,5618834,gratis,https://open.spotify.com/episode/5SncVqdiKhb4vK9pg3QEMz
181: Quiso entrar en esa línea de trabajo pero se le cansaban mucho los gemelos,Anora,2024,https://letterboxd.com/film/anora/,2024-12-20,https://i.scdn.co/image/ab6765630000ba8a930594f2105b29b17bd686f6,4102870,gratis,https://open.spotify.com/episode/28mNHcbcAIe7FPy0IyaNb3
180: Ningún pibe nace streamer,Heretic,2024,https://letterboxd.com/film/heretic-2024/,2024-12-13,https://i.scdn.co/image/ab6765630000ba8af6a70856ff65a43332057747,4811284,gratis,https://open.spotify.com/episode/6TMPCfVAR2y5lLPAt9CXnf
179: Me sentí como Agustín Laje viendo Frozen,Juror #2,2024,https://letterboxd.com/film/juror-2/,2024-12-06,https://i.scdn.co/image/ab6765630000ba8aab2d9c528c5b79f46f78adfd,4551732,gratis,https://open.spotify.com/episode/0rK2c1SC8aD4n7KxMp2KEP
178: Voy a googlear de qué cuadro es Feinmann feat. el Pícaro,Conclave,2024,https://letterboxd.com/film/conclave/,2024-11-29,https://i.scdn.co/image/ab6765630000ba8af7d4b29a77c67e5351c402b2,4042187,gratis,https://open.spotify.com/episode/6eRTTOvQ1pItlHsbNR0paJ
